,,,,
1,reviewer_hash,project_hash,commit,project_url
36,37b239d6e31a884f3796b68d275870a336bdbbfe,019a2a564a6244348106c0f12a954101e019c2e4,807c181,https://github.com/Regidan-codes/ML-ZOOMCAMP2022/tree/main/ML_ZOOMCAMP_MIDTERM_PROJECT
37,37b239d6e31a884f3796b68d275870a336bdbbfe,c176b48657e2517b7af4f991ac826b1e09f87778,51dd5a7,https://github.com/MarcosMJD/ml-fish-weight-predition
38,9cf2d2d6ed5e25f621635c29705f9f556c85cd6e,d6faf2dcd92d432d55b3bae8ab2ca997d5c41189,ab26303,https://github.com/dheerajkarra/ML_Engineering/tree/main/Mid_Project
39,9cf2d2d6ed5e25f621635c29705f9f556c85cd6e,9475efc09c9a6458f4bceed724cc69f36c39deb1,72ce47d,https://github.com/GreLeBr/mlzoom/tree/master/mid_proj
40,9cf2d2d6ed5e25f621635c29705f9f556c85cd6e,4ba1efa946abab7ea8b55ee35b8c1d9b2275dbc7,67c6114,https://github.com/Danselem/appliance_pred
41,41ee3797c6a7cc4e31451bfe17c9564a35ecde61,c590eefff0d65f2ebddfe8e0fcaa04d83cb3df20,d397ab7,https://github.com/angelineolapa/LBW-RiskPrediction
42,41ee3797c6a7cc4e31451bfe17c9564a35ecde61,ae5ab5e45bd7893d9bdf4165205e7a7ba64d670b,c8ee4c2,https://github.com/skepticalchemist/heart_disease_risk_classifier
43,41ee3797c6a7cc4e31451bfe17c9564a35ecde61,0400f4e800dae9f4ac786106bd1bfe2cfb2fadb5,55e2e0a,https://github.com/rizdiaprilian/MLZoomcamp_2022/tree/master/Capstone_project
44,c1b1590b5e24d4316d48c319f43d5f5cbddf3782,4d568e6946de10d2e8557d728ab4fd00b1f59151,c0e6dc4,https://github.com/ivtprakashhotmail/employee-attrition
45,c1b1590b5e24d4316d48c319f43d5f5cbddf3782,79f8d4eb2fcf9d95efb09d5627b7a77b0f7582d5,0d73fe8,https://github.com/hichemck/airbnb
46,c1b1590b5e24d4316d48c319f43d5f5cbddf3782,1b0e1b6a2454907c8938934efda458644d6f4fdd,9d94431,https://github.com/npthao110/machine-learning---data-club/blob/main/Project.ipynb
47,499c0f68ced4a65227e9d45cd5354a5153ffdc4f,0b1d0018ad496a5bd7db2db2efe4cf4b22643f17,e01dbff,https://github.com/douglas-dm9/ML-zoomcamp/tree/main/capstone_project
48,499c0f68ced4a65227e9d45cd5354a5153ffdc4f,7a3687e357cf8da3207da19d73001af15a6a98ce,aa2a5ca,https://github.com/danannisar/track_popularity_reg
49,499c0f68ced4a65227e9d45cd5354a5153ffdc4f,ea445e0c82a5c688e57b57a4eb9abe3a525dc6a9,b9103f7,https://github.com/lipinor/co2_emission
50,8476d3114902305705d1f5467dc3427b002bcfbc,8fd53394e239f905e499b7a0925d165a2c2923af,a01c181,https://github.com/starynin/mlzoomcamp/tree/main/Midterm%20Project
51,8476d3114902305705d1f5467dc3427b002bcfbc,73c3134cecd37a1849bc5cbb82243d8c328086e5,d1203d5,https://github.com/sambonuruddeen/bookcamp-midterm.git
52,8476d3114902305705d1f5467dc3427b002bcfbc,a6ac387f4f8ca3472c48ce46003ee9a6d47469c1,aeabbbd,https://github.com/angel-devicente/midterm-mlzoomcamp
53,f8997e08fb19c9897f47ab98919f3e2789053ef8,29476c043a8da0fc76e0fa73c1c0d18cf7dff75f,9ccc142,https://github.com/moizali-dev/MusicClassificationModel
54,f8997e08fb19c9897f47ab98919f3e2789053ef8,6ee881fced08486f82d55e0cd2ec7a2e83edc326,285feef,https://github.com/TMahatoky/Midterm_project-Zoomcamp-
