,,,
1,reviewer_hash,project_hash,project_url
39,11ce0ce54138b6ef3cc4e342aec12620d4f0403a,97471157d5ab17ad2c09d22fc08a31023250d50e,https://github.com/anuj0721/mba_placement_prediction
40,11ce0ce54138b6ef3cc4e342aec12620d4f0403a,e1bd193a7ac2fca19a61c98e65ba80c14c1b8be2,https://github.com/sergelawson/MLZOOMCAMPP
41,8604a1595e06daa6d15dca93ba5ef68659e63076,029adc58e589bae653694416b7dc1661f5630d80,https://github.com/mikeonak/bankruptcy
42,8604a1595e06daa6d15dca93ba5ef68659e63076,fccd5d19fa48b8dd664b333ac9450e88b4c77917,https://github.com/ashok-arora/heart-attack-predictor
43,8604a1595e06daa6d15dca93ba5ef68659e63076,f255bd03008428c7155d785ca3018797b8797764,https://github.com/GermanoC0/course-ml-zoomcamp/tree/main/3rdProject
44,db7651a9d9b6106e0f61310b6bf106bd009e0c54,5acb4aea40804805c77bec16d60815f590aa7634,https://github.com/carlos9917/ml_project2
45,db7651a9d9b6106e0f61310b6bf106bd009e0c54,7ca848937cdd518db07ebc5c1462374f124f4964,https://github.com/MSadriAghdam/Uber_Fare_Pricing
46,db7651a9d9b6106e0f61310b6bf106bd009e0c54,e52d4e3aa9dbaeb513ef1d7be94cdbe4d75c3073,https://GitHub.com/CMH-DS4A/ml_zoomcamp/tree/main/final_project
47,fccd5d19fa48b8dd664b333ac9450e88b4c77917,2e4895d02b0c2bf59f062ae45b2642156e49a5e5,https://github.com/sleepypioneer/coffee-leaf-rust-predictor
48,fccd5d19fa48b8dd664b333ac9450e88b4c77917,f251db7236d9fd8a54a732d2870716d46eafb8d4,https://github.com/bizancio3/ml-zoomcamp/tree/main/12-capstone-project
49,fccd5d19fa48b8dd664b333ac9450e88b4c77917,8604a1595e06daa6d15dca93ba5ef68659e63076,https://github.com/MMdeCastro/ml-zoomcamp/tree/main/S14_Third_Project
50,e52d4e3aa9dbaeb513ef1d7be94cdbe4d75c3073,db7651a9d9b6106e0f61310b6bf106bd009e0c54,https://github.com/kristiaan67/ml-zoomcamp/tree/master/capstone-project
51,e52d4e3aa9dbaeb513ef1d7be94cdbe4d75c3073,1f2952958f8c10469128caaaf6ede4e221fa84fe,https://github.com/snikhil17/Customer_Shopping_Intention
52,e52d4e3aa9dbaeb513ef1d7be94cdbe4d75c3073,11ce0ce54138b6ef3cc4e342aec12620d4f0403a,https://github.com/robmoore/zoomcamp-ts-project
