,,,,
1,reviewer_hash,project_hash,commit,project_url
,,,,
2,45ee6f7c40e3e326f8c309258b0bfff4469e7a93,08e9b508882e710a5a913b6539eab8bce92e9b19,e973915,https://github.com/npogeant/flight-delay
3,45ee6f7c40e3e326f8c309258b0bfff4469e7a93,b45f2368c253906db5e97c25736c5845aac2cf7a,db11fe6,https://github.com/vermadev54/MlopsZoomcampCourceProject
4,45ee6f7c40e3e326f8c309258b0bfff4469e7a93,be9f3d176ac753b4a060bdd8f80cb717521dad9d,f66a5bc,https://github.com/HoracioSoldman/mlops-project
5,fe13ac2bf89db726ed68cd81b5ca8e54af35b5f8,be9f3d176ac753b4a060bdd8f80cb717521dad9d,f66a5bc,https://github.com/HoracioSoldman/mlops-project
6,fe13ac2bf89db726ed68cd81b5ca8e54af35b5f8,95fc64125d492614ff269236542ad066dc3cb790,f72c138,https://github.com/andrecpc/mlops-zoomcamp-project
7,fe13ac2bf89db726ed68cd81b5ca8e54af35b5f8,913a75f15fd9a9c2c834aa5b7710facc68a9a6b8,9340ea9,https://github.com/Vulon/pet_image_detection
8,95fc64125d492614ff269236542ad066dc3cb790,5db3b26baa2d9d38c23f4d95ed5feab84a9681b2,d839a4657705a78472af381a934e9bf205433556,https://github.com/mharty3/energy_data_capstone/blob/master/readme.md
9,95fc64125d492614ff269236542ad066dc3cb790,f76ac23d0b5936620a1c18eaa9338338f7202065,8919100,https://github.com/Chinemelu4/mlops-zoomcamp-project.git
10,95fc64125d492614ff269236542ad066dc3cb790,fed47957c246c991735a34399485b461cd125b0d,319a713,https://github.com/liartem/mlops-zoomcamp/tree/main/final_project
11,5db3b26baa2d9d38c23f4d95ed5feab84a9681b2,32296c7f940b3505c2a810c78798424d9805b8fd,425c88b,https://github.com/deen360/mlops-project
12,5db3b26baa2d9d38c23f4d95ed5feab84a9681b2,1ba8a05e826a569f5d5b136a861e3d30fd59de9b,c1c109c3aafede948e47d799c82fbf6374ade23f,https://github.com/Peco602/maternal-health-risk
13,5db3b26baa2d9d38c23f4d95ed5feab84a9681b2,3767f4e52148017beedf013e77835939de80fa89,671a6dd,https://github.com/jralduaveuthey/mlops-covid
14,08e9b508882e710a5a913b6539eab8bce92e9b19,913a75f15fd9a9c2c834aa5b7710facc68a9a6b8,9340ea9,https://github.com/Vulon/pet_image_detection
15,08e9b508882e710a5a913b6539eab8bce92e9b19,32296c7f940b3505c2a810c78798424d9805b8fd,425c88b,https://github.com/deen360/mlops-project
16,08e9b508882e710a5a913b6539eab8bce92e9b19,45ee6f7c40e3e326f8c309258b0bfff4469e7a93,ee49595,https://github.com/PatrickCmd/mlops-project
17,cadc0923ea2d210f0c3f588098a029b82a90a03e,fed47957c246c991735a34399485b461cd125b0d,319a713,https://github.com/liartem/mlops-zoomcamp/tree/main/final_project
18,cadc0923ea2d210f0c3f588098a029b82a90a03e,653a41900ef9d91dcc241cb986ec80b81ff85749,2592c65,https://github.com/Chrisroj/mlops-final-project
19,cadc0923ea2d210f0c3f588098a029b82a90a03e,1ba8a05e826a569f5d5b136a861e3d30fd59de9b,c1c109c3aafede948e47d799c82fbf6374ade23f,https://github.com/Peco602/maternal-health-risk
20,b8bd0e95e3de6ee727995010f18445f8e6ad04a7,45ee6f7c40e3e326f8c309258b0bfff4469e7a93,ee49595,https://github.com/PatrickCmd/mlops-project
21,b8bd0e95e3de6ee727995010f18445f8e6ad04a7,c877ecfe90754702dc3886b5c3a07a6e63f1ff31,0bc14d4,https://github.com/bijay-05/MLOPs-zoomcamp-capstone
22,b8bd0e95e3de6ee727995010f18445f8e6ad04a7,5e462bf1230ede72b6a7383ffcb02344eb8f31fc,87b930b,https://github.com/ibombonato/mlops-showcase
23,718b5b8a61abfe4492872766fc2d488f3c216a22,35a89bd1cf9dc20f4a30d70cadf18c60942dfaff,67ed5d051fd240379df2981611ea25921400b80e,https://github.com/razorcd/mlops-training/tree/main/capstone-project
24,718b5b8a61abfe4492872766fc2d488f3c216a22,be9f3d176ac753b4a060bdd8f80cb717521dad9d,f66a5bc,https://github.com/HoracioSoldman/mlops-project
25,718b5b8a61abfe4492872766fc2d488f3c216a22,08e9b508882e710a5a913b6539eab8bce92e9b19,e973915,https://github.com/npogeant/flight-delay
26,913a75f15fd9a9c2c834aa5b7710facc68a9a6b8,f76ac23d0b5936620a1c18eaa9338338f7202065,8919100,https://github.com/Chinemelu4/mlops-zoomcamp-project.git
27,913a75f15fd9a9c2c834aa5b7710facc68a9a6b8,45ee6f7c40e3e326f8c309258b0bfff4469e7a93,ee49595,https://github.com/PatrickCmd/mlops-project
28,913a75f15fd9a9c2c834aa5b7710facc68a9a6b8,fe13ac2bf89db726ed68cd81b5ca8e54af35b5f8,5618a7e,https://github.com/prashant-py-debug/mlops-project
29,9980c8be31815c0144e3d7a539c025fe8d324857,fe13ac2bf89db726ed68cd81b5ca8e54af35b5f8,5618a7e,https://github.com/prashant-py-debug/mlops-project
30,9980c8be31815c0144e3d7a539c025fe8d324857,fed47957c246c991735a34399485b461cd125b0d,319a713,https://github.com/liartem/mlops-zoomcamp/tree/main/final_project
31,9980c8be31815c0144e3d7a539c025fe8d324857,35a89bd1cf9dc20f4a30d70cadf18c60942dfaff,67ed5d051fd240379df2981611ea25921400b80e,https://github.com/razorcd/mlops-training/tree/main/capstone-project
32,5e462bf1230ede72b6a7383ffcb02344eb8f31fc,1db7c49751bf43302f91d1222c03e26044d060d9,97a4030,https://github.com/yusyel/mlops-project
33,5e462bf1230ede72b6a7383ffcb02344eb8f31fc,fe13ac2bf89db726ed68cd81b5ca8e54af35b5f8,5618a7e,https://github.com/prashant-py-debug/mlops-project
34,5e462bf1230ede72b6a7383ffcb02344eb8f31fc,653a41900ef9d91dcc241cb986ec80b81ff85749,2592c65,https://github.com/Chrisroj/mlops-final-project
35,35a89bd1cf9dc20f4a30d70cadf18c60942dfaff,be002d91fe7ed3c373946f173e70f6f03dda9220,f9a36c5,https://github.com/Ashish110110/MLOps/tree/main/Project
36,35a89bd1cf9dc20f4a30d70cadf18c60942dfaff,5e462bf1230ede72b6a7383ffcb02344eb8f31fc,87b930b,https://github.com/ibombonato/mlops-showcase
37,35a89bd1cf9dc20f4a30d70cadf18c60942dfaff,f76ac23d0b5936620a1c18eaa9338338f7202065,8919100,https://github.com/Chinemelu4/mlops-zoomcamp-project.git
38,c90c3d72c306cb0c5ac9e97549cff4d92e752a65,653a41900ef9d91dcc241cb986ec80b81ff85749,2592c65,https://github.com/Chrisroj/mlops-final-project
39,c90c3d72c306cb0c5ac9e97549cff4d92e752a65,b8bd0e95e3de6ee727995010f18445f8e6ad04a7,79518ce,https://github.com/hakymulla/Diabetes-ML-ps
40,c90c3d72c306cb0c5ac9e97549cff4d92e752a65,9980c8be31815c0144e3d7a539c025fe8d324857,f857860e50da94521203e84cfe3d1c8cee77473a,https://github.com/CodeProcessor/MLOps-Project-1
41,3767f4e52148017beedf013e77835939de80fa89,718b5b8a61abfe4492872766fc2d488f3c216a22,f9bef7f,https://github.com/yalcinerbasi/mlOps
42,3767f4e52148017beedf013e77835939de80fa89,be002d91fe7ed3c373946f173e70f6f03dda9220,f9a36c5,https://github.com/Ashish110110/MLOps/tree/main/Project
43,3767f4e52148017beedf013e77835939de80fa89,b8bd0e95e3de6ee727995010f18445f8e6ad04a7,79518ce,https://github.com/hakymulla/Diabetes-ML-ps
44,653a41900ef9d91dcc241cb986ec80b81ff85749,b45f2368c253906db5e97c25736c5845aac2cf7a,db11fe6,https://github.com/vermadev54/MlopsZoomcampCourceProject
45,653a41900ef9d91dcc241cb986ec80b81ff85749,913a75f15fd9a9c2c834aa5b7710facc68a9a6b8,9340ea9,https://github.com/Vulon/pet_image_detection
46,653a41900ef9d91dcc241cb986ec80b81ff85749,95fc64125d492614ff269236542ad066dc3cb790,f72c138,https://github.com/andrecpc/mlops-zoomcamp-project
47,fed47957c246c991735a34399485b461cd125b0d,3767f4e52148017beedf013e77835939de80fa89,671a6dd,https://github.com/jralduaveuthey/mlops-covid
48,fed47957c246c991735a34399485b461cd125b0d,c6d8499d4ee4a498a926a5059e5e56d8694fab49,b1dee6d,https://github.com/Qfl3x/mlops-zoomcamp-project
49,fed47957c246c991735a34399485b461cd125b0d,3167200eaa1a5b411e25044ce47bfe9d1373eea5,bfe57b38958bcf05b425b4144d63597005d0350f,https://github.com/yalcinerbasi/mlops-zoomcamp
50,f76ac23d0b5936620a1c18eaa9338338f7202065,cadc0923ea2d210f0c3f588098a029b82a90a03e,9404b77,https://github.com/mmgxa/MLZ_P
